Team,Nickname,Stadium,Logo
Brisbane,Broncos,Suncorp Stadium,t8960_l_h15_aa.png
Canberra,Raiders,GIO Stadium,t8962_l_h15_aa.png
Canturbury-Bankstown,Bulldogs,ANZ Stadium,t8961_l_h15_aa.png
Cronulla,Sharks,Southern Cross Group Stadium,t8963_l_h15_aa.png
Gold Coast,Titans,Cbus Super Stadium,t8964_l_h15_aa.png
Manly,Sea Eagles,Lottoland,t8965_l_h15_aa.png
Melbourne,Storm,AAMI Park,t8966_l_h15_aa.png
New Zealand,Warriors,Mt Smart Stadium,t8968_l_h15_aa.png
Newcastle,Knights,McDonald Jones Stadium,t8967_l_h15_aa.png
North-Queensland,Cowboys,1300SMILES Stadium,t8969_l_h15_aa.png
Parramatta,Eels,ANZ Stadium,t8970_l_h15_aa.png
Penrith,Panthers,Panthers Stadium,t8971_l_h15_aa.png
South Sydney,Rabbitohs,ANZ Stadium,t8972_l_h15_aa.png
St George-Illawarra,Dragons,UOW Jubilee Oval,t8973_l_h15_aa.png
Sydney,Roosters,Allianz Stadium,t8974_l_h15_aa.png
West,Tigers,Leichhardt Oval,t8975_l_h15_aa.png